Use,Potential Impacts,DamageGroup,LifeStageofImpact,ClimateChangeMobility,PESTGROUP,PEST_TYPE,PEST_SPECIES_CODE,PEST_SPECIES_COMMON_NAME,PEST_SPECIES_LATIN_NAME,Ba,Bg,Bl,Cw,Fd,Hm,Hw,Lw,Pj,Pl,Pw,Py,Sb,Ss,Sx,Yc
y,,,,,GeneralRiskBiotic,,,,,3,3,3,3,2,3,3,2,2,1,1,2,3,3,2,2
y,,,,,GeneralRiskAbiotic,,,,,1,1,2,2,2,1,2,2,2,3,2,2,1,1,2,1
y,,,young,,MAMMALS,,AD,Deer,Odocoileus spp.,,,,1,1,,,,,,,,1,1,1,
y,vhigh,reducer + killer,young + mature,high,DISEASE,FOLIAGE DISEASE,DFS,Dothistroma Needle Blight,Dothistroma septosporum,,,,,,,,,1,1,1,1,,,,
y,high,reducer,young,high,DISEASE,FOLIAGE DISEASE,DFW,Swiss Needle Cast,Nothophaeocryptopus gaeumannii,,,,,1,,,,,,,,,,,
y,high,reducer + killer,young + mature,low,DISEASE,ROOT DISEASE,DRA,Armillaria Root Disease,Armillaria ostoyae,,1,1,3,1,,1,3,,2,2,2,2,2,2,
y,high,reducer + killer,young + mature,low,DISEASE,ROOT DISEASE,DRL,Laminated Root Rot,Coniferiporia sulphurascens,,1,2,3,1,,2,2,,,,,2,2,2,
y,moderate,reducer + killer,young + mature,low,DISEASE,ROOT DISEASE,DRN,Annosus Root Disease,Heterobasidion occidentale,2,2,2,,2,,1,,,,,,,2,2,
y,high,reducer + killer,young + mature,low,DISEASE,ROOT DISEASE,DRT,Tomentosus Root Rot,Onnia tomentosus,2,2,2,,2,,,2,,2,2,2,1,1,1,
y,vhigh,killer,young + mature,high,DISEASE,STEM RUST & CANKER,DSB,White Pine Blister Rust,Cronartium ribicola,,,,,,,,,,,1,,,,,
y,vhigh,killer,young + mid,high,DISEASE,STEM RUST & CANKER,DSC,Comandra Blister Rust,Cronartium comandrae,,,,,,,,,,1,,,,,,
y,high,maimer + reducer,young + mid,high,DISEASE,STEM RUST & CANKER,DSG,Western Gall Rust,Endocronartium harknessii,,,,,,,,,,1,1,1,,,,
y,vhigh,killer,young + mid,high,DISEASE,STEM RUST & CANKER,DSS,Stalactiform Blister Rust,Cronartium coleosporioides,,,,,,,,,,1,,,,,,
y,high,killer + reducer,all,high,INSECT,APHID OR ADELGID,IAB,Balsam Woolly Adelgid,Adelges piceae,1,1,2,,,,,,,,,,,,,
y,high,killer,mid +mature,high,INSECT,BARK BEETLE,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,2,,1,,,,,,,,,,,,,
y,high,killer,mid +mature,high,INSECT,BARK BEETLE,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,,,,,1,,,,,,,,,,,
y,minor,killer,,high,INSECT,BARK BEETLE,IBL,Lodgepole Pine Beetle,Dendroctonus murryanae,,,,,,,,,,1,,,,,,
y,high,killer,mid +mature,high,INSECT,BARK BEETLE,IBM,Mountain Pine Beetle,Dendroctonus ponderosae,,,,,,,,,,1,,,,,,
y,high,killer,mid +mature,high,INSECT,BARK BEETLE,IBS,Spruce Beetle,Dendroctonus rufipennis,,,,,,,,,,,,,3,1,1,
y,moderate,killer,mid +mature,high,INSECT,BARK BEETLE,IBW,Western Pine Beetle,Dendroctonus brevicomis,,,,,,,,,,,,1,,,,
y,moderate,killer,young,high,INSECT,DEFOLIATING INSECT,IDA,Black Army Cutworm,Actebia fennica,,,,,,,,,,1,,1,,,1,
y,moderate,reducer,mid +mature,high,INSECT,DEFOLIATING INSECT,IDB,Two-year Budworm,Choristoneura biennis,,,1,,,,,,,,,,,,1,
y,high,killer + reducer,mid +mature,high,INSECT,DEFOLIATING INSECT,IDE,Eastern Spruce Budworm,Choristoneura fumiferana,,,1,,,,,,,,,,,,1,
y,high,killer + reducer,mid +mature,high,INSECT,DEFOLIATING INSECT,IDL,Western Hemlock Looper,Lambdina fiscellaria lugubrosa,,,,,,,1,,,,,,,,,
y,moderate,killer + reducer,mid +mature,high,INSECT,DEFOLIATING INSECT,IDT,Douglas-fir Tussock Moth,Orgyia pseudotsugata,,,,,1,,,2,,,,2,,,,
y,vhigh,killer + reducer,all,high,INSECT,DEFOLIATING INSECT,IDW,Western Spruce Budworm,Choristoneura occidentalis,1,1,,,1,,,1,,,,,,,,
y,moderate,maimer,young + mid,low,INSECT,WEEVIL,IWP,Lodgepole pine Terminal Weevil,Pissodes terminalis,,,,,,,,,,1,,,,,,
y,moderate,maimer,young + mid,low,INSECT,WEEVIL,IWS,White pine Weevil (on Spruce),Pissodes strobi,,,,,,,,,,,,,,1,1,
y,minor,killer,young,low,INSECT,WEEVIL,IWW,Warrens Root Collar Weevil,Hylobius warreni,,,,,2,,,,,1,,,,,2,
