Sppsplit,TreeCode,ScientificName,EnglishName,Group,NotUse
Aa,Aa,Populus angustifolia,narrowleaf cottonwood,Broadleaf_Native,
Acb,"Ac(Acb, Act)",Populus balsamifera/trichocarpa,balsam poplar/cottonwood,Broadleaf_BC,
Act,"Ac(Acb, Act)",Populus balsamifera/trichocarpa,balsam poplar/cottonwood,Broadleaf_BC,
Ad,Ad,Populus deltoides ssp. deltoides,eastern cottonwood,Broadleaf_Native,x
Ad,Ad(Adm),Populus deltoides,eastern cottonwood,Broadleaf_Native,
Adm,Adm,Populus deltoides ssp. monilifera,plains eastern cottonwood,Broadleaf_Native,x
Af,Af,Populus freemontii,Fremont cottonwood,Broadleaf_Native,
At,At,Populus tremuloides,trembling aspen,Broadleaf_BC,
Ba,Ba,Abies amabilis,amabilis fir,Conifer_BC,
Bb,Bb,Abies balsamea,balsam fir,Conifer_Native,
Bc,Bc,Abies concolor,white fir,Conifer_Native,
Bg,Bg,Abies grandis,grand fir,Conifer_BC,
Bl,Bl(Bla),Abies lasiocarpa,subalpine fir,Conifer_BC,
Bla,Bla,Abies lasiocarpa var. arizonica,corkbark fir,Conifer_Native,x
Bm,Bm,Abies magnifica,red fir,Conifer_Native,
Bm,Bm,Abies magnifica var. shastensis,Shasta red fir,Conifer_Native,x
Bp,Bp,Abies procera,noble fir,Conifer_Native,
Cw,Cw,Thuja plicata,western redcedar,Conifer_BC,
Dr,Dr,Alnus rubra,red alder,Broadleaf_BC,
Dw,Dw,Alnus rhombifolia,white alder,Broadleaf_Native,x
Ea,Ea,Betula neoalaskana,Alaska birch,Broadleaf_BC,x
Ee,Ee,Betula pendula,weeping birch,Broadleaf_Exotic,x
Ep,Ep,Betula papyrifera,paper birch,Broadleaf_BC,
Es,Es,Betula pubescens,downy birch,Broadleaf_Exotic,x
Es,Es,Betula pubescens ssp. pubescens,downy birch,Broadleaf_Exotic,x
Ew,Ew,Betula occidentalis,water birch,Broadleaf_BC,
Ey,Ey,Betula alleghaniensis,yellow birch,Broadleaf_Native,x
Fdi,"Fd (Fdi, Fdc)",Pseudotsuga menziesii,Douglas-fir,Conifer_BC,
Fdc,"Fd (Fdi, Fdc)",Pseudotsuga menziesii,Douglas-fir,Conifer_BC,
Gp,Gp,Cornus nuttallii,western flowering dogwood,Broadleaf_BC,
Hm,Hm,Tsuga mertensiana,mountain hemlock,Conifer_BC,
Hw,Hw,Tsuga heterophylla,western hemlock,Conifer_BC,
Jc,Jc,Juniperus californica,California juniper,Conifer_Native,x
Jo,Jo,Juniperus monosperma,oneseed juniper,Conifer_Native,x
Jr,Jr,Juniperus scopulorum,Rocky Mountain juniper,Conifer_BC,
Js,Js,Juniperus maritima,seaside juniper,Conifer_BC,x
Ju,Ju,Juniperus osteosperma,Utah juniper,Conifer_Native,x
Jw,Jw,Juniperus occidentalis,western juniper,Conifer_Native,
Kc,Kc,Frangula purshiana,cascara buckthorn,Broadleaf_BC,x
La,La,Larix lyallii,subalpine larch,Conifer_BC,
Ld,Ld,Larix gmelinii,Dahurian larch,Conifer_Exotic,x
Ls,Ls,Larix siberica,Siberian larch,Conifer_Exotic,x
Lt,Lt,Larix laricina,tamarack,Conifer_BC,
Lw,Lw,Larix occidentalis,western larch,Conifer_BC,
Mb,Mb,Acer macrophyllum,bigleaf maple,Broadleaf_BC,
Me,Me,Acer negundo,Manitoba maple,Broadleaf_Native,
Mn,Mn,Acer platanoides,Norway maple,Broadleaf_Exotic,x
